generic_name,unit,auto_calculate,route,reference_regimen,warnings,source_name,source_edition,source_ref,name_ar,aliases,antidote,contraindications,interactions,high_risk
antivenom (polyvalent snake) (equine),mg,no,"IVP, IV inf",Initial strength: Combination of 6 saudi snakes venom. Final concentration (IVP/IVPB): Undiluted / Dilute 40 ml antivenom in 5 ml/kg NS. Standard preparation: Dilute 40 ml antivenom in 5 ml/kg NS. Maximum concentration: Dilute 40 ml antivenom in 5 ml/kg NS. Preparation at maximum concentration: Dilute 40 ml antivenom in 5 ml/kg NS. Rate of administration: IVP: 4 ml/mint / IVPB: 30-60 mint.,"Monitoring: Urine output Pulse, BP, heart rate Urea and electrolyte|Y-site compatibility: No information","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.7,,antivenom (poluvalent snake) (equine)|polyvalent snake antivenom|snake antivenom,,,,no
vecuronium bromide,mg,no,IV P IV inf,Initial strength: 1mg/ml. Diluents: D5W NS. Reconstitution volume: 10ml of bact.WFI Or SWFI. Final concentration (IVP/IVPB): 1mg/ml / 0.1- 0.2mg/ml. Standard preparation: 1mg/10ml D5W or NS. Maximum concentration: 1mg/ml. Preparation at maximum concentration: 1mg/5ml D5W or NS. Vial stability (RT/Ref): Bact.WF I 5d / Bact. WFI 5d SWF I 24hr. Premixed stability (RT/Ref): 24hr. Rate of administration: IVP: 30sec / IVPB: 0.7- 1.7mcg/kg/ min.,"Special conditions: Cannot be given IM Or intermittent inf.|Monitoring: Bl. Gas, BP,RR, HR|Y-site compatibility: Compatibility: Alprostadil, Aminophylline, Cefazolin sodium, …etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.43,,,,,,yes
pancuronium,mg,no,IVP IV inf,Initial strength: 1mg/ ml 2mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): Undiluted / 0.1mg/ ml. Standard preparation: 25mg/ 250ml D5W 25mg/ 250ml NS. Maximum concentration: 1mg/ ml. Preparation at maximum concentration: 50mg/ 50ml D5W 50mg/ 50ml NS. Vial stability (RT/Ref): Discard after use. Premixed stability (RT/Ref): 48 hrs / 48 hrs. Rate of administration: IVP: 1 min / IVPB: 1mcg/kg/mi n.,Special conditions: Bolus injection is recommended over continuous infusion Sedative must be used|Monitoring: BP HR Respirato ry function Train of four,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.41,,,,,,yes
amobarbital,mg,no,IV inf IM,Initial strength: 100 mg/ml For IV use 100mg/ml For IM use 200mg/ml. Diluents: D5W NS SWFI. Reconstitution volume: 5 ml SWFI For IV use 5ml SWFI For IM use 2.5ml SWFI. Final concentration (IVP/IVPB): NA IVP / 100mg/ml IVPB. Standard preparation: 500mg/5ml SWFI. Maximum concentration: 100mg/ml. Preparation at maximum concentration: 500mg/5ml SWFI. Vial stability (RT/Ref): 30 mint RT / NA Ref. Premixed stability (RT/Ref): NA RT / NA Ref. Rate of administration: IVP: NA IVP / IVPB: 50 mg/ minut e IVPB.,Special conditions: -Rotate the ampoule to facilitate solution and must not be shaken - IM :a solution containing 200 mg/mL (20%) 500 mg of the sterile powder for injection should be dissolved in 2.5 mL of SWFI -IM dose should not exceed 5ml at any one site -Do not use if solution does not become absolutely clear within 5 min after reconstitution|Monitoring: -vital signs -BP - respiratio n -cardiac function -KFT -LFT hematolog ic paramete rs|Y-site compatibility: Compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.5,,,,,,yes
botulinum toxin type a (botox),unit,no,IM,Strength (name column): 100 units/vial. Diluents: NS without preserv ative. Reconstitution volume: 1ml volume NS give strength 10 units /0.1ml 2ml volume NS 5 units /0.1ml 4ml volume NS 2.5units/0.1 ml 8ml volume NS 1.25units/0. 1 ml. Final concentration (IVP/IVPB): For IM use IVP / For IM use IVPB. Standard preparation: For IM use. Maximum concentration: For IM use. Preparation at maximum concentration: For IM use. Vial stability (RT/Ref): 4 hrs RT / NA Ref. Premixed stability (RT/Ref): NA RT / NA Ref. Rate of administration: IVP: NA IVP / IVPB: NA IVPB.,Special conditions: -do not shake vial -refrigerate -for IM use only -do not freeze,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.8,,botulinim toxin type a botox|botox|botulinum toxin,,,,yes
ranitidine,mg,no,IVP IV inf,Initial strength: 25mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 2.5mg/ ml (50 mg/20 ml ) / 1mg/ ml. Standard preparation: 50mg/ 50ml D5W 50mg/ 50ml NS. Maximum concentration: 1mg/ ml. Preparation at maximum concentration: 50mg/ 50ml D5W 50mg/ 50ml NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): Use fresh / 24 hrs. Rate of administration: IVP: 2-5 min / IVPB: 30 min.,Special conditions: Can be given IM|Monitoring: Body weight KFT,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.29,,ranitine|zantac,,,,no
bretylium tosylate,mg,no,IVP IV inf,"Initial strength: 50 mg/ml. Diluents: NS D5W. Final concentration (IVP/IVPB): Undiluted IVP / 4 mg/ml IVPB. Standard preparation: 1gm/250 ml NS 1gm/250 D5W. Maximum concentration: 10mg/ml. Preparation at maximum concentration: 1gm/100ml NS 1gm/100ml D5W. Vial stability (RT/Ref): immedia tely RT / NA Ref. Premixed stability (RT/Ref): 2 day RT / 7 day Ref. Rate of administration: IVP: 1 mint IVP / IVPB: 1-2 mg/mint IVPB. | Standard concentration: 1000 mg / 250 ml D5W. Maintenance dose: (0.014--0.028)mg/kg/min. Infusion rate per weight: see chart, p.2-3.",Special conditions: -do not freeze -IM injection in adult should not Exceed 5ml per site -administer while patient supine|Monitoring: -ECG -Heart rate -Blood pressure -Cardiac monitorin g|Y-site compatibility: Compatibility: No information,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.35 | Adult IV Drip Chart p.2,,bretylium,,,,no
